Latitude,Longitude
31.7851,-100.54367
31.76518,-100.53233
31.81921,-100.66518
31.82922,-100.68499
31.85652,-100.71799
31.8004,-100.59688
31.80251,-100.76305
31.76131,-100.50636
31.75492,-100.50952
31.81086,-100.68373
31.81968,-100.69819
31.81914,-100.55989
31.79805,-100.54427
31.78664,-100.73666
31.83808,-100.71854
31.81084,-100.68825
31.79266,-100.51921
31.79004,-100.72501
31.80037,-100.64204
31.76678,-100.5181
31.82278,-100.71321
31.85902,-100.7061
31.80591,-100.55296
31.81619,-100.71031
31.79467,-100.58184
31.81387,-100.66141
31.77787,-100.53671
31.81218,-100.57287
31.85728,-100.72183
31.79286,-100.60072
31.80175,-100.53441
31.81936,-100.66973
31.78753,-100.73259
31.79996,-100.593
31.82034,-100.70209
31.793,-100.53787
31.78271,-100.59918
31.78995,-100.52596
31.84601,-100.70161
31.85336,-100.74087
31.81392,-100.67823
31.80358,-100.58165
31.85731,-100.71422
31.79261,-100.559
31.76184,-100.51516
31.84452,-100.69758
31.79313,-100.57108
31.7841,-100.61927
31.85923,-100.74818
31.784,-100.63163
31.85571,-100.69989
31.84036,-100.67464
31.78812,-100.68621
31.7684,-100.51444
31.83579,-100.76101
31.82065,-100.70703
31.80293,-100.60882
31.8277,-100.75174
31.86764,-100.75224
31.7888,-100.54705
31.78839,-100.72045
31.7572,-100.52391
31.80348,-100.58558
31.83673,-100.73981
31.78837,-100.72844
31.82643,-100.71661
31.80324,-100.75909
31.77403,-100.52634
31.83344,-100.69781
31.79669,-100.62792
31.83703,-100.76595
31.8051,-100.54834
31.81226,-100.5572
31.81442,-100.69331
31.86802,-100.72102
31.84139,-100.70641
31.79351,-100.5632
31.81247,-100.67104
31.86653,-100.71752
31.75443,-100.50494
31.78779,-100.69058
31.8654,-100.74341
31.83884,-100.68395
31.79463,-100.60468
31.80696,-100.61581
33.17888,-99.27781
33.14036,-99.31655
33.16774,-99.34354
33.17777,-99.27282
33.12098,-99.31551
33.16815,-99.33212
33.19047,-99.30079
33.1978,-99.20785
33.21495,-99.26363
33.17563,-99.34044
33.09166,-99.31113
33.1534,-99.28249
33.15214,-99.28976
33.11451,-99.31856
33.19404,-99.29543
33.17218,-99.31867
33.18762,-99.22907
33.17767,-99.28303
33.1553,-99.3178
33.12567,-99.33697
33.15693,-99.34464
33.16492,-99.28734
33.17865,-99.34434
33.19055,-99.24826
33.21762,-99.21874
33.12985,-99.35069
33.14493,-99.29855
33.19046,-99.24216
33.20219,-99.23075
